No,Brix_of_kind,sunshine,brix_of_sunshine,sickness,brix_of_sickness,brix,weight,acidity,ratio,taste
1,9.43,0,0,3,0.75,8.68,12.8,0.68,12.76,6
2,10.04,0,0,3,0.75,9.29,13.5,0.67,13.87,7
3,9.91,0,0,3,0.75,9.16,13.6,0.69,13.28,6
4,9.74,0,0,3,0.75,8.99,13.1,0.69,13.03,8
5,9.79,0,0,3,0.75,9.04,13.3,0.68,13.29,8
6,9.67,0,0,3,0.75,8.92,13.7,0.68,13.12,7
7,9.65,0,0,3,0.75,8.9,12.3,0.69,12.9,7
8,10.1,0,0,3,0.75,9.35,12.8,0.68,13.75,7
9,9.11,0,0,3,0.75,8.36,13.4,0.68,12.29,8
10,9.67,0,0,3,0.75,8.92,13.2,0.67,13.31,8
11,9.23,0,0,3,0.75,8.48,13.8,0.69,12.29,7
12,9.14,0,0,3,0.75,8.39,13,0.68,12.34,8
13,10.14,0,0,3,0.75,9.39,13,0.68,13.81,7
14,9.62,0,0,3,0.75,8.87,13.1,0.69,12.86,6
15,10.25,0,0,3,0.75,9.5,13.2,0.67,14.18,8
16,10.42,1,0.5,3,0.75,10.17,12.3,0.68,14.96,8
17,10.19,1,0.5,3,0.75,9.94,13.7,0.7,14.2,6
18,9.57,1,0.5,3,0.75,9.32,12.9,0.69,13.51,6
19,10.4,1,0.5,3,0.75,10.15,13.4,0.69,14.71,8
20,9.27,1,0.5,3,0.75,9.02,12.9,0.68,13.26,8
21,10.37,1,0.5,3,0.75,10.12,13.8,0.69,14.67,9
22,9.99,1,0.5,3,0.75,9.74,13.6,0.68,14.32,9
23,10.01,1,0.5,3,0.75,9.76,14.5,0.69,14.14,9
24,9.87,1,0.5,3,0.75,9.62,13.8,0.67,14.36,8
25,9.34,1,0.5,3,0.75,9.09,14.2,0.66,13.77,10
26,10.28,1,0.5,5,1.25,9.53,13.5,0.7,13.61,9
27,9.75,1,0.5,5,1.25,9,13.8,0.68,13.24,9
